ON819429.1	Australia
OP604184.2	Australia
OP604177.2	Australia
ON112352.1	Austria
ON112351.1	Austria
OM283601.1	Austria
OM283609.1	Austria
OM283602.1	Austria
OM100944.1	Austria
OM424292.1	Austria
OM269122.1	Austria
OM100945.1	Austria
OM283600.1	Austria
OM283604.1	Austria
OM424290.1	Austria
OM269121.1	Austria
OM283605.1	Austria
OM283603.1	Austria
OP256652.1	Bahrain
OP114004.1	Bahrain
OP256699.1	Bahrain
ON597568.1	Bahrain
ON077221.1	Bahrain
OM986520.1	Bahrain
OM844368.1	Bahrain
ON146382.1	Bahrain
OM844278.1	Bahrain
OM844088.1	Bahrain
ON077213.1	Bahrain
ON106979.1	Bahrain
ON419043.1	Bahrain
OP256663.1	Bahrain
OM843361.1	Bahrain
OM986626.1	Bahrain
OM844406.1	Bahrain
OM986568.1	Bahrain
ON171977.1	Bahrain
OM845183.1	Bahrain
ON627302.1	Bahrain
OM844392.1	Bahrain
OM844320.1	Bahrain
OM986652.1	Bahrain
ON172007.1	Bahrain
OP295565.1	Bahrain
OM843146.1	Bahrain
OP256687.1	Bahrain
ON076687.1	Bahrain
ON171944.1	Bahrain
ON197866.1	Bahrain
ON597498.1	Bahrain
OM986606.1	Bahrain
ON076598.1	Bahrain
ON597499.1	Bahrain
OM986510.1	Bahrain
OM844068.1	Bahrain
OM843148.1	Bahrain
ON419006.1	Bahrain
ON103138.1	Bahrain
ON077207.1	Bahrain
OM986681.1	Bahrain
OM844374.1	Bahrain
OM844084.1	Bahrain
OP585816.1	Bahrain
OM986685.1	Bahrain
ON146556.1	Bahrain
ON420284.1	Bahrain
ON103047.1	Bahrain
ON076595.1	Bahrain
ON197826.1	Bahrain
OM844336.1	Bahrain
ON077261.1	Bahrain
ON103105.1	Bahrain
OP113986.1	Bahrain
OM844410.1	Bahrain
ON103293.1	Bahrain
OM845227.1	Bahrain
ON103125.1	Bahrain
ON420455.1	Bahrain
ON597518.1	Bahrain
OM845062.1	Bahrain
OP114475.1	Bahrain
ON171987.1	Bahrain
OM845077.1	Bahrain
OM844039.1	Bahrain
OM986497.1	Bahrain
ON146511.1	Bahrain
ON103239.1	Bahrain
ON146391.1	Bahrain
OP295586.1	Bahrain
ON077308.1	Bahrain
OM844405.1	Bahrain
ON197855.1	Bahrain
ON077272.1	Bahrain
OP113982.1	Bahrain
ON197797.1	Bahrain
ON171891.1	Bahrain
ON627362.1	Bahrain
ON197772.1	Bahrain
OM845140.1	Bahrain
OP733039.1	Bahrain
ON606090.1	Bahrain
ON627325.1	Bahrain
OP114438.1	Bahrain
OP295573.1	Bahrain
ON146546.1	Bahrain
ON146413.1	Bahrain
ON197692.1	Bahrain
ON103299.1	Bahrain
ON418980.1	Bahrain
ON171861.1	Bahrain
ON597600.1	Bahrain
ON103097.1	Bahrain
OM845185.1	Bahrain
OM844293.1	Bahrain
ON146515.1	Bahrain
ON103132.1	Bahrain
OM844078.1	Bahrain
OM986526.1	Bahrain
ON077216.1	Bahrain
ON597555.1	Bahrain
ON627421.1	Bahrain
ON197817.1	Bahrain
ON606146.1	Bahrain
ON627390.1	Bahrain
